1400				330	720	1050	1600	2000
1600				370	820	1200	1850	2300
1800				400	920	1350	2000	2500
2000				440	1000	1500	2300	2800
2240				460	1100	1650	2500	3100
2500				550	1250	1900	2900	3500
2800				580	1400	2100	3200	3900
0	-34	-20	-14	-10	-6	-4	-2	-2	-4	-6	0	2	4	6
3	-46	-30	-20	-14	-10	-6	-4	-2	-4		1	4	8	12
6	-56	-40	-25	-18	-13	-8	-5	-2	-5		1	6	10	15
10	-70	-50	-32	-23	-16	-10	-6	-3	-6		1	7	12	18
18	-85	-65	-40	-28	-20	-12	-7	-4	-8		2	8	15	22
30	-100	-80	-50	-35	-25	-15	-9	-5	-10		2	9	17	26
50		-100	-60		-30		-10	-7	-12		2	11	20	32
80		-120	-72		-36		-12	-9	-15		3	13	23	37
120		-145	-85		-43		-14	-11	-18		3	15	27	43
180		-170	-100		-50		-15	-13	-21		4	17	31	50
250		-190	-110		-56		-17	-16	-26		4	20	34	56
315		-210	-125		-62		-18	-18	-28		4	21	37	62
400		-230	-135		-68		-20	-20	-32		5	23	40	68
500		-260	-145		-76		-22				0	26	44	78
630		-290	-160		-80		-24				0	30	50	88
800		-320	-170		-86		-26				0	34	56	100
1000		-350	-195		-98		-28				0	40	66	120
1250		-390	-220		-110		-30				0	48	78	140
1600		-430	-240		-120		-32				0	58	92	170
2000		-480	-260		-130		-34				0	68	110	195
2500		-520	-290		-145		-38				0	76	135	240
0	-8	-7	-5	-4	-4	-2.5
18	-10	-8	-6	-5	-4	-2.5
30	-12	-12	-8	-6	-4	-2.5
50	-15	-12	-9	-7	-5	-4
80	-20	-15	-10	-8	-5	-5
120	-25	-18	-13	-10	-7	-7
180	-30	-22	-15	-12	-9	-8
250	-35	-25	-18
315	-40	-30	-23
400	-45	-35
500	-50	-40
630	-75
800	-100
1000	-120
1200	-160
1600	-200
0	-8	-7	-5	-4	-3	-2.5
18	-9	-8	-6	-5	-4	-4
30	-11	-9	-7	-6	-4	-4
50	-13	-11	-9	-7	-4	-4
80	-15	-13	-10	-8	-5	-5
120	-18	-15	-11	-9	-5	-5
150	-25	-18	-13	-10	-7	-7
180	-30	-20	-15	-11	-8	-8
250	-35	-25	-18	-13	-10	-8
315	-40	-28	-20	-15	-12	-10
400	-45	-33	-23
500	-50	-38	-28
630	-75	-45	-35
800	-100	-60
1000	-125
1250	-160
1600	-200
2000	-250
